area_type,availability,Location,Size,society,total_sqft,bath,balcony,Price,No. of Bedrooms,target_column_name
Dhaka,19-Dec,tongi,2 BHK,Coomee,1056,2,1,10000000,4,
Dhaka,20-Dec,tongi,3 BHK,Theanmp,2600,2,1,7888000,2,
Dhaka,21-Dec,tongi,4 BHK,NaN,1440,2,1,4866000,2,
Dhaka,22-Dec,tongi,5 BHK,Soiewre,1521,2,1,8358000,3,
Dhaka,23-Dec,tongi,6 BHK,NaN,1200,2,1,6845000,3,
Dhaka,24-Dec,tongi,6 BHK,NaN,,2,1,6797000,2,
Dhaka,25-Dec,tongi,4 BHK,Theanmp,,2,1,20000000,4,
Dhaka,26-Dec,tongi,1 BHK,Theanmp,,2,1,7105000,3,
Dhaka,27-Dec,tongi,3 BHK,Theanmp,,2,1,8405000,3,
Dhaka,28-Dec,tongi,1 BHK,Theanmp,,2,1,3506000,3,
Dhaka,29-Dec,tongi,3 BHK,Theanmp,,2,1,7700000,2,
Dhaka,30-Dec,tongi,3 BHK,Theanmp,,2,1,9369000,3,
Dhaka,31-Dec,tongi,2 BHK,Theanmp,,2,1,8716000,3,
Dhaka,1-Jan,tongi,4 BHK,Theanmp,,2,1,5394000,2,
Dhaka,2-Jan,tongi,1 BHK,Theanmp,,2,1,6367000,3,
Dhaka,3-Jan,savar,0 BHK,Theanmp,,2,1,5080000,2,
Dhaka,4-Jan,savar,5 BHK,Theanmp,,2,1,7209999,3,
Dhaka,5-Jan,savar,0 BHK,Coomee,,2,1,5700000,2,
Dhaka,6-Jan,savar,2 BHK,Coomee,,2,1,12400000,3,
Dhaka,7-Jan,savar,2 BHK,Soiewre,,2,1,4900000,2,
Dhaka,8-Jan,savar,2 BHK,Soiewre,,2,1,9630000,3,
Dhaka,9-Jan,savar,2 BHK,Soiewre,,2,1,9458000,3,
Dhaka,10-Jan,savar,3 BHK,Soiewre,,2,1,23700000,4,
Dhaka,11-Jan,savar,3 BHK,Soiewre,,2,1,7363000,3,
Dhaka,12-Jan,savar,1 BHK,Soiewre,,2,1,5489000,2,
Dhaka,13-Jan,savar,3 BHK,Soiewre,,2,1,4216000,3,
Dhaka,14-Jan,savar,2 BHK,Soiewre,,2,1,4368000,2,
Dhaka,15-Jan,savar,2 BHK,Soiewre,,2,1,7600000,2,
Dhaka,16-Jan,savar,2 BHK,Soiewre,,2,1,4545000,2,
Dhaka,17-Jan,savar,2 BHK,Soiewre,,2,1,23100000,3,
Dhaka,18-Jan,savar,4 BHK,Soiewre,,2,1,8000000,2,
Dhaka,19-Jan,savar,3 BHK,Soiewre,,2,1,4514000,2,
Dhaka,20-Jan,savar,4 BHK,Soiewre,,2,1,5460000,2,
Dhaka,21-Jan,savar,3 BHK,Theanmp,,2,1,4414000,2,
Dhaka,22-Jan,savar,3 BHK,Theanmp,,2,1,8868000,2,
Dhaka,23-Jan,savar,3 BHK,Theanmp,,2,1,6133000,2,
Dhaka,24-Jan,savar,3 BHK,Theanmp,,2,1,3038000,2,
Dhaka,25-Jan,savar,3 BHK,Theanmp,,2,1,7100000,3,
Dhaka,26-Jan,savar,2 BHK,Theanmp,,2,1,7506999,2,
Dhaka,27-Jan,savar,3 BHK,Theanmp,,2,1,6520000,3,
Dhaka,28-Jan,savar,3 BHK,Theanmp,,2,1,6389000,2,
Dhaka,29-Jan,savar,3 BHK,Theanmp,,2,1,11700000,3,
Dhaka,30-Jan,savar,3 BHK,Theanmp,,2,1,5600000,3,
Dhaka,31-Jan,savar,4 BHK,Theanmp,,2,1,4562000,3,
